server,location,branch,sub_branch,control_program,point,path
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,CHW Valve,#ahu-4_0206/chw_valve
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Cl Req,#ahu-4_0206/m045
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Cool Stpt,#ahu-4_0206/cl_stpt_tn
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,CW Coil Return,#ahu-4_0206/cwcr
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,CW Coil Supply,#ahu-4_0206/cwcs
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,EA DAMPER,#ahu-4_0206/ea_dmpr
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Econ Stpt,#ahu-4_0206/econ_stpt_tn
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Final Filter Diff. Press.,#ahu-4_0206/ffilter_dp
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Heat Stpt,#ahu-4_0206/ht_stpt_tn
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Ht Req,#ahu-4_0206/m044
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,HW Coil Return,#ahu-4_0206/hwcr
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,HW Coil Supply,#ahu-4_0206/hwcs
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,HW Valve,#ahu-4_0206/hw_valve
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Mixed Air Temp,#ahu-4_0206/ma_temp
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,OA DAMPER,#ahu-4_0206/oa_dmpr
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,OA Temp,#ahu-4_0206/oa_temperature
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Occ Mode,#ahu-4_0206/m041
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,OSA  CO2,#ahu-4_0206/osa_co2
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,OSA CFM,#ahu-4_0206/osacfm
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Pre-Filter Diff. Press.,#ahu-4_0206/pfilter_dp
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,RA CO2 Stpt,#ahu-4_0206/co2_stpt_tn
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,RA DAMPER,#ahu-4_0206/ra_dmpr
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Ret Fan 4B Velocity Pressure,#ahu-4_0206/rf2_vel_press
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Ret Fan 4C Velocity Pressure,#ahu-4_0206/rf3_vel_press
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Ret Fan 4D Velocity Pressure,#ahu-4_0206/rf4_vel_press
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Return Air CO2,#ahu-4_0206/ra_co2
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Return Air Temp,#ahu-4_0206/ra_temp
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Return Fan  CFM,#ahu-4_0206/rf_cfm_tnd
10.20.0.47,Science & Engineering 2: 0206,Roof,,AHU-4,Return Fan 1 CFM,#ahu-4_0206/rf1_cfm_tnd
