server,location,branch,sub_branch,control_program,point,path
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1A,Air Flow Feedback,#1c1a_thermafuser/m073
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1A,clg setpt,#1c1a_thermafuser/m135
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1A,htg setpt,#1c1a_thermafuser/m134
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1A,Room Occupied,#1c1a_thermafuser/m078
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1A,Supply Air,#1c1a_thermafuser/m190
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1A,Zone Temp,#1c1a_thermafuser/m186
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1B,Air Flow Feedback,#1c1b_thermafuser/m073
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1B,clg setpt,#1c1b_thermafuser/m135
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1B,htg setpt,#1c1b_thermafuser/m134
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1B,Room Occupied,#1c1b_thermafuser/m078
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1B,Supply Air,#1c1b_thermafuser/m190
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1B,Zone Temp,#1c1b_thermafuser/m186
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1C,Air Flow Feedback,#1c1c_thermafuser/m073
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1C,clg setpt,#1c1c_thermafuser/m135
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1C,htg setpt,#1c1c_thermafuser/m134
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1C,Room Occupied,#1c1c_thermafuser/m078
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1C,Supply Air,#1c1c_thermafuser/m190
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C1C,Zone Temp,#1c1c_thermafuser/m186
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C6A,Air Flow Feedback,#1c6a_thermafuser/m073
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C6A,clg setpt,#1c6a_thermafuser/m135
10.20.0.47,Science & Engineering 2: 0206,First Floor,Short bar,1C6A,htg setpt,#1c6a_thermafuser/m134
