"Location","Control Program","Name","Value","Type","Object ID","Device ID","Object Name","COV Increment","Offset / Polarity","Exp:Num","I/O Type","Sensor/Actuator Type","Min/Max","Locked","In Alarm","Path"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","_1_8_v_low_48","normal","BALM","BV:144","DEV:220602","_1_8_v_low_48_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/_1_8_v_low_48"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","_10_v_low_1","normal","BALM","BV:145","DEV:220602","_10_v_low_1_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/_10_v_low_1"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","_24_v_low_47","normal","BALM","BV:146","DEV:220602","_24_v_low_47_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/_24_v_low_47"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ai_54_wrong_settings_91","normal","BALM","BV:147","DEV:220602","ai_54_wrong_settings_91_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ai_54_wrong_settings_91"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_calibration_failed_50","normal","BALM","BV:148","DEV:220602","ama_calibration_failed_50_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_calibration_failed_50"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_check_u_nom_i_nom_51","normal","BALM","BV:149","DEV:220602","ama_check_u_nom_i_nom_51_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_check_u_nom_i_nom_51"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_internal_fault_58","normal","BALM","BV:150","DEV:220602","ama_internal_fault_58_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_internal_fault_58"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_interrupt_by_user_56","normal","BALM","BV:151","DEV:220602","ama_interrupt_by_user_56_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_interrupt_by_user_56"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_low_i_nom_52","normal","BALM","BV:152","DEV:220602","ama_low_i_nom_52_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_low_i_nom_52"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_motor_too_big_53","normal","BALM","BV:153","DEV:220602","ama_motor_too_big_53_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_motor_too_big_53"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_motor_too_small_54","normal","BALM","BV:154","DEV:220602","ama_motor_too_small_54_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_motor_too_small_54"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_param_out_of_range_55","normal","BALM","BV:155","DEV:220602","ama_param_out_of_range_55_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_param_out_of_range_55"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","ama_timeout_57","normal","BALM","BV:156","DEV:220602","ama_timeout_57_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/ama_timeout_57"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","brake_chek_28","normal","BALM","BV:157","DEV:220602","brake_chek_28_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/brake_chek_28"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","brake_chopper_short_circ_27","normal","BALM","BV:158","DEV:220602","brake_chopper_short_circ_27_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/brake_chopper_short_circ_27"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","brake_igbt_243","normal","BALM","BV:159","DEV:220602","brake_igbt_243_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/brake_igbt_243"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","brake_resistor_power_limit_26","normal","BALM","BV:160","DEV:220602","brake_resistor_power_limit_26_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/brake_resistor_power_limit_26"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","brake_resistor_short_circ_25","normal","BALM","BV:161","DEV:220602","brake_resistor_short_circ_25_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/brake_resistor_short_circ_25"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","broken_belt_95","normal","BALM","BV:162","DEV:220602","broken_belt_95_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/broken_belt_95"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","clock_fault_98","normal","BALM","BV:163","DEV:220602","clock_fault_98_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/clock_fault_98"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","control_board_over_temp_65","normal","BALM","BV:164","DEV:220602","control_board_over_temp_65_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/control_board_over_temp_65"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","control_word_timeout_17","normal","BALM","BV:165","DEV:220602","control_word_timeout_17_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/control_word_timeout_17"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","current_limit_59","normal","BALM","BV:166","DEV:220602","current_limit_59_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/current_limit_59"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","dangerous_failure_72","normal","BALM","BV:167","DEV:220602","dangerous_failure_72_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/dangerous_failure_72"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","dc_link_voltage_high_5","normal","BALM","BV:168","DEV:220602","dc_link_voltage_high_5_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/dc_link_voltage_high_5"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","dc_link_voltage_low_6","normal","BALM","BV:169","DEV:220602","dc_link_voltage_low_6_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/dc_link_voltage_low_6"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","dc_over_voltage_7","alarm","BALM","BV:170","DEV:220602","dc_over_voltage_7_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/dc_over_voltage_7"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","dc_under_voltage_8","normal","BALM","BV:171","DEV:220602","dc_under_voltage_8_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/dc_under_voltage_8"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","drive_init_to_default_value_80","normal","BALM","BV:172","DEV:220602","drive_init_to_default_value_80_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/drive_init_to_default_value_80"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","drive_over_temperature_29","normal","BALM","BV:173","DEV:220602","drive_over_temperature_29_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/drive_over_temperature_29"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge/VFD","CWP-1","dry_pump_93","normal","BALM","BV:174","DEV:220602","dry_pump_93_1","" ,"" ,"" ,"" ,"" ,"" ,"" ,"" ,"#cwp-1/dry_pump_93"
