"Location","Control Program","Name","Value","Type","Object ID","Device ID","Object Name","COV Increment","Offset / Polarity","Exp:Num","I/O Type","Sensor/Actuator Type","Min/Max","Locked","In Alarm","Path"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","Bldg CHWR Temp","48.9 F" ,"BAI","AI:14","DEV:220605","bldg_chwr_1","0.5000","0","1:6","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#chw_bridge_/bldg_chwr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","Bldg CHWS Temp","38.9 F" ,"BAI","AI:15","DEV:220605","bldg_chws_1","2","0","1:5","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#chw_bridge_/bldg_chws"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","Bridge Diff Prs","2.7 psi","BAI","AI:1","DEV:220605","bridge_diff_prs_1","0.5000","0","1:1","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/50)","" ,"" ,"#chw_bridge_/bridge_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","CHWR Valve Position","101.25 %","BAI","AI:17","DEV:220605","pos_fdbk_1","5","1.25","1:7","0-10 Volt","Linear w/ offset, 2-10 Volts","(0.00/100.00)","" ,"" ,"#chw_bridge_/pos_fdbk"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","CHW Strainer DP","0.0 psi","BAI","AI:18","DEV:220605","strn_dp_1","0.5000","0","1:2","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/10)","" ,"" ,"#chw_bridge_/strn_dp"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","Loop Diff Prs mr","14.746001 psi","BAI","AI:2","DEV:220605","loop_diff_prs_1","0.5000","-0.65","1:8","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#chw_bridge_/loop_diff_prs"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","Loop Diff Prs_ahu3r","0.0 psi","BAI","AI:4","DEV:220605","loop_diff_prs_mr_1","0.5000","0","0:0","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/20)","" ,"" ,"#chw_bridge_/loop_diff_prs_mr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","CHW Pump D/P","12.4 psi","BAI","AI:3","DEV:220605","pump_dp_1","0.5000","0","1:3","0-20 mA","Linear w/ offset, 4-20 mA","(0.00/50.00)","" ,"" ,"#chw_bridge_/pump_dp"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P1 Status","On","BBI","BI:1","DEV:220605","chwp1_status_1","" ,"normal","0:2","Dry Contact","" ,"" ,"" ,"" ,"#chw_bridge_/chwp1_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P1 VFD Fault","Off","BBI","BI:2","DEV:220605","p1_fault_1","" ,"normal","0:1","Dry Contact","" ,"" ,"" ,"" ,"#chw_bridge_/p1_fault"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P2 Status","Off","BBI","BI:3","DEV:220605","chwp2_status_1","" ,"normal","0:4","Dry Contact","" ,"" ,"" ,"" ,"#chw_bridge_/chwp2_status"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P2 VFD Fault","Off","BBI","BI:4","DEV:220605","p2_fault_1","" ,"normal","0:3","Dry Contact","" ,"" ,"" ,"" ,"#chw_bridge_/p2_fault"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","CHWR Valve","100.0 %","BAO","AO:7","DEV:220605","vlv_output_1","1.0000","0","0:8","Electrical 0-10 Volt","Linear w/ offset, 2-10 Volts","(0/100)","" ,"" ,"#chw_bridge_/vlv_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P-2 VFD Speed","0.0 %","BAO","AO:1","DEV:220605","p2_vfd_output_1","1.0000","-1","1:2","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#chw_bridge_/p2_vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P-1 VFD Speed","50.2 %","BAO","AO:9","DEV:220605","vfd_output_1","1.0000","-1","1:1","Electrical 0-10 Volt","Linear Full Range","(0.00/100.00)","" ,"" ,"#chw_bridge_/vfd_output"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P-1 S/S","On","BBO","BO:1","DEV:220605","p1_cmd_1","" ,"normal","0:1","Relay / Triac Output","" ,"" ,"" ,"" ,"#chw_bridge_/p1_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","P-2 S/S","Off","BBO","BO:2","DEV:220605","p2_cmd_1","" ,"normal","0:2","Relay / Triac Output","" ,"" ,"" ,"" ,"#chw_bridge_/p2_cmd"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","CHW Bridge","Strainer Blow Down Valve","Off","BBO","BO:3","DEV:220605","str_blowdn_1","" ,"normal","0:7","Relay / Triac Output","" ,"" ,"" ,"" ,"#chw_bridge_/str_blowdn"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","HHWR Temp","156.7 F" ,"BAI","AI:13","DEV:220606","bldg_hwr_1","5","0","0:9","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#hw_bridge_/bldg_hwr"
"/UC Merced/Main Campus/Science & Engineering 2: 0206/HVAC :0206/Basement/Building Bridge","HHW Bridge","Primary HWR Temp","183.1 F" ,"BAI","AI:8","DEV:220606","bldg_hws_1","5","0","1:5","Thermistor","Thermistor, Precon Type II, 10k@77 deg F","(-50.00/180.00)","" ,"" ,"#hw_bridge_/bldg_hws"
